frame_idx,frame_time,steering_angle,steering_angle_prev_100ms,steering_angle_prev_200ms,speed,yaw_rate,velocity_x,velocity_y,velocity_z,time_diff_steering,time_diff_speed,time_diff_gyro
29,9315.544917000001,-6.4,-6.2,-5.7,[19.22986111],0.0250091552734375,-5.995768855968076,-9.393250950760551,-15.889527828367662,0.00330326333460107,0.0059201846652285894,0.01346914699934132
30,9315.594928,-6.8,-6.2,-6.2,[19.24236111],0.0250091552734375,-6.007049176192022,-9.376946837118277,-15.910033399975637,0.0051138673352397745,0.0023764303332427517,0.036541853000017
31,9315.644909,-7.1,-6.4,-6.2,[19.23263889],0.02606201171875,-6.010338032652049,-9.36081928774061,-15.947438934680886,0.00757866333151469,0.0028003679999528686,0.013269626999317552
32,9315.694922,-7.2,-6.8,-6.2,[19.25069444],0.02606201171875,-6.019143381117005,-9.340418804484928,-15.989154159196527,0.0017530383320263354,0.003708232334247441,0.03674337300071784
33,9315.744907,-6.9,-7.1,-6.4,[19.28402778],0.0319671630859375,-6.030257102258639,-9.313583521200005,-16.0176532268465,0.0016113196670630714,0.005961163666142966,0.013064107999525731
34,9315.794922000001,-6.6,-7.2,-6.8,[19.28888889],0.0319671630859375,-6.049743768002605,-9.277047611918558,-16.026975459147888,0.0026658986680558883,0.0026405899989185855,0.03695089200118673
35,9315.84491,-6.6,-6.9,-7.1,[19.30069444],0.033599853515625,-6.064706142084092,-9.245010164090141,-16.03379509415359,0.0015858469996601343,0.005336746999091702,0.01285358799941605
36,9315.894927,-6.8,-6.6,-7.2,[19.27361111],0.033599853515625,-6.0742950943491545,-9.233281750084902,-16.040118878750636,0.0062032433324930025,0.0007783370001561707,0.037163412000154494
37,9315.944904,-6.9,-6.6,-6.9,[19.30833333],0.025787353515625,-6.116337303144324,-9.213957593481243,-16.052101019391024,0.006093951666116482,0.0007535033346357523,0.012652068999159383
38,9315.994908,-6.9,-6.8,-6.6,[19.32777778],0.025787353515625,-6.143247315163093,-9.20661614923113,-16.06475919308683,0.007485913665732369,0.00863103499978024,0.037351931001467165
39,9316.044903,-6.9,-6.9,-6.6,[19.31180556],0.028045654296875,-6.160323700708873,-9.200222384379341,-16.090564299615714,0.0022506003333546687,0.0036864413323201006,0.012445549000403844
40,9316.0949,-6.9,-6.9,-6.8,[19.31180556],0.028045654296875,-6.178189494272547,-9.185108745836555,-16.12205949858784,0.0027344233330950374,0.005404232999353553,0.03755145099967194
41,9316.144906,-6.9,-6.9,-6.9,[19.37916667],0.0308074951171875,-6.179570164915788,-9.180251139390123,-16.14986624112588,0.008121193999613752,0.008219318999181269,0.012235030000738334
42,9316.194903,-6.9,-6.9,-6.9,[19.3375],0.0308074951171875,-6.155525320417601,-9.178447601589614,-16.172244623045092,0.0028214303329150425,0.0025440803347009933,0.03776196999933745
43,9316.244899,-6.9,-6.9,-6.9,[19.37916667],0.0333709716796875,-6.166429428112185,-9.16094995771813,-16.174323802009205,0.00284057633325574,0.003833205333648948,0.01203451000037603
44,9316.294902,-6.9,-6.9,-6.9,[19.44930556],0.0333709716796875,-6.193347440352828,-9.14008601909379,-16.16053656429634,0.007268461999046849,0.004478951666897046,0.03796848999991198
45,9316.3449,-6.9,-6.9,-6.9,[19.39930556],0.0319976806640625,-6.212574140371672,-9.130041716481106,-16.149735187211434,0.007475898999473429,0.002061045332084177,0.011825989999124431
46,9316.394964000001,-7.0,-6.9,-6.9,[19.47152778],0.0319976806640625,-6.242235654312228,-9.133328852539226,-16.149888050665506,0.0027421323320595548,0.0027304406685288996,0.03823801000180538
47,9316.4449,-6.9,-6.9,-6.9,[19.42222222],0.02337646484375,-6.329309150789784,-9.110322218878224,-16.147015375839704,0.006827975999840419,0.005435420665889978,0.011618471000474528
48,9316.494899,-6.8,-7.0,-6.9,[19.45486111],0.02337646484375,-6.398243212479024,-9.109407564804604,-16.140100450234275,0.000998819667074713,0.004338045666372636,0.03838052899845934
49,9316.544896,-6.9,-7.0,-6.9,[19.40902778],0.0200653076171875,-6.416680753296541,-9.136090211143946,-16.154008952746057,0.0046947539995017,0.008161903000655002,0.011414951000915607
50,9316.594896,-6.9,-6.9,-7.0,[19.44930556],0.0200653076171875,-6.446155977513923,-9.150283490154868,-16.169510026860685,0.0033166806679219007,0.0032553890014241915,0.038585049000175786
51,9316.644929,-6.4,-6.9,-7.0,[19.53194444],0.02294921875,-6.471204388116877,-9.151989462274301,-16.170442515313912,0.0035063159994024318,0.005624402334433398,0.011174432000188972
52,9316.694895,-5.0,-6.9,-6.9,[19.49861111],0.02294921875,-6.462995606085114,-9.147873861912274,-16.17430171022172,0.002492558331141481,0.0029535663343267515,0.03879156800030614
53,9316.744895,-3.4,-6.4,-6.9,[19.53263889],0.0306854248046875,-6.450055287113874,-9.140804723572684,-16.194502088777508,0.008315016668348107,0.003375431000677054,0.011000911999872187
54,9316.794896,-1.8,-5.3,-6.9,[19.48680556],0.0306854248046875,-6.485790517602792,-9.116863546967236,-16.213063558029575,0.0002943686668004375,0.003025388998139533,0.03900008799973875
55,9316.844895,-0.6000000000000001,-3.8,-6.4,[19.56736111],0.0120697021484375,-6.515795110270409,-9.104769945131212,-16.215815873813025,0.002371993667111383,0.007765743001073133,0.010793392999403295
56,9316.894894000001,-0.2,-1.8,-5.3,[19.56388889],0.0120697021484375,-6.539781809321063,-9.109127771858054,-16.207174360789562,0.0035174439999536844,0.0034834023335861275,0.03920560700134956
57,9316.944892,-0.7000000000000001,-0.6000000000000001,-3.8,[19.56458333],-0.0100250244140625,-6.570756778282226,-9.121774729155794,-16.200694578795428,0.008139829335050308,0.008252662668382982,0.010588873001324828
58,9316.994892,-1.4,-0.2,-1.8,[19.57013889],-0.0100250244140625,-6.586212719332493,-9.145250475363724,-16.210033604532047,0.003232326334909885,0.0005111810005473671,0.039411126999766566
59,9317.044885,-1.7,-0.5,-0.6000000000000001,[19.53333333],-0.00921630859375,-6.587445754402755,-9.163675488570922,-16.238740530098674,0.007989253665073193,0.002576649332695524,0.010388354001406697
60,9317.094892000001,-1.7,-1.4,-0.2,[19.55208333],-0.00921630859375,-6.580677985666394,-9.178093421084863,-16.26700307591331,0.002282266999827698,0.0031855663346505025,0.03961864600023546
61,9317.144895,-1.7,-1.7,-0.5,[19.59444444],0.0042877197265625,-6.571583941378711,-9.193685383206283,-16.27289120700301,0.005684881667548325,0.0034263063316757325,0.010170834000746254
62,9317.194897,-2.1,-1.7,-1.4,[19.59861111],0.0042877197265625,-6.548401644708368,-9.208752331164332,-16.25028119987899,0.0025198789990099613,0.002873901999919326,0.03983116599920322
63,9317.244887,-2.8,-1.7,-1.7,[19.62430556],0.0101165771484375,-6.538656559878882,-9.22391879021604,-16.225644259750442,0.0026162853337154957,0.008345923666638555,0.009971314999347669
64,9317.294888,-3.6,-2.1,-1.7,[19.61666667],0.0101165771484375,-6.53915337530399,-9.238712521176272,-16.22479251445954,0.0030564930002583424,0.000372586999219493,0.04002968500026327
65,9317.344893,-4.8,-2.8,-1.7,[19.61458333],0.0110321044921875,-6.55881163377928,-9.245261957315495,-16.24688500378615,0.005801787334348774,0.005667829000230995,0.00975779500004137
66,9317.394889000001,-5.3,-3.6,-2.1,[19.66041667],0.0110321044921875,-6.584690923882587,-9.238198794173439,-16.280810830165198,0.0029860276663384866,0.0025430143341509392,0.04023820500151487
67,9317.44491,-5.4,-4.6,-2.8,[19.62291667],0.0130462646484375,-6.597136650752054,-9.223375973264035,-16.317530153095404,0.00666257966622652,0.0026857856664719293,0.009533275999274338
68,9317.494899,-5.2,-5.2,-3.6,[19.64097222],0.0130462646484375,-6.614331305411702,-9.198484513236204,-16.345844454387937,0.001657086999330204,0.007049263998851529,0.04045572399991215
69,9317.544939,-4.8,-5.4,-4.6,[19.66597222],0.0156402587890625,-6.630332077957503,-9.173680985645719,-16.353889768680787,0.0020594210000126623,0.002686808335056412,0.009296756001276663
70,9317.594887,-4.3,-5.2,-5.2,[19.65694444],0.0156402587890625,-6.640034122728701,-9.16025760121184,-16.34853990278877,0.003153379331706674,0.0022855690003780182,0.040651243998581776
71,9317.644879,-3.9,-4.8,-5.4,[19.72361111],0.0151214599609375,-6.648976302385219,-9.153300875280008,-16.334906099830683,0.0023759933337714756,0.005408194334449945,0.009149237001111032
72,9317.694885,-3.8,-4.3,-5.2,[19.69375],0.0151214599609375,-6.670313663607395,-9.153683014842022,-16.33004779433579,0.003415681001570192,0.003306681001049583,0.040856763000192586
73,9317.744881,-3.8,-3.9,-4.8,[19.74375],0.0116424560546875,-6.682498247652929,-9.16530996869582,-16.33807109038655,0.005396985667175613,0.0030987750014901394,0.008939716999520897
74,9317.794895,-3.8,-3.8,-4.3,[19.70277778],0.0116424560546875,-6.69459469321449,-9.178443307239307,-16.367623628653785,0.004538089999186923,0.006199712335728691,0.04107428300085303
75,9317.844902,-3.8,-3.8,-3.9,[19.73263889],0.013092041015625,-6.721372414475565,-9.174682333992214,-16.405177152118306,0.0009614730006433092,0.005828829665915691,0.00871119699877454
76,9317.89488,-3.9,-3.8,-3.8,[19.75069444],0.013092041015625,-6.723498576775296,-9.183115374904057,-16.42766731771345,0.0026504206671233987,0.0027066000002378132,0.041266803000326036
77,9317.944877,-4.2,-3.8,-3.8,[19.77986111],0.014251708984375,-6.724002770158839,-9.181162697126648,-16.434022061191534,0.003079566333326511,0.008184350333976909,0.008528677999493084
78,9317.994878,-4.2,-3.9,-3.8,[19.75277778],0.014251708984375,-6.737843643629383,-9.16896563011944,-16.423098479914607,0.004863808333539055,0.0021578496671281755,0.041472322000117856
79,9318.044874000001,-4.2,-4.2,-3.8,[19.80833333],0.012664794921875,-6.753107919156349,-9.17211340895598,-16.400074642135063,0.005793526666820981,0.005654901666275691,0.008324157999595627
80,9318.094896,-4.3,-4.2,-3.9,[19.81805556],0.012664794921875,-6.768869515425149,-9.185287441799932,-16.36829150122782,0.002806735665217275,0.0026828066675079754,0.041697841999848606
81,9318.144878000001,-4.1,-4.2,-4.2,[19.78263889],0.0130615234375,-6.8013455683754716,-9.196496790531613,-16.356560922424958,0.008485118334647268,0.00316468100027123,0.008112638999591582
82,9318.194893,-3.7,-4.2,-4.2,[19.83125],0.0130615234375,-6.8228289780937725,-9.22027275579607,-16.363998334527363,0.0005442350011435337,0.004854472999795689,0.04190236099930189
83,9318.244896,-3.2,-4.1,-4.2,[19.81041667],0.01239013671875,-6.846220312809419,-9.237921037577731,-16.39259141956031,0.0022849729994049994,0.005791422667243751,0.007887118999860832
84,9318.294887,-2.7,-3.8,-4.2,[19.8125],0.01239013671875,-6.861201852923481,-9.23264321535932,-16.423502853848166,0.0026841713333851658,5.166066694073379e-05,0.04210388100000273
85,9318.344874,-2.3,-3.2,-4.1,[19.82708333],0.00958251953125,-6.858381548068662,-9.218065115473472,-16.463680984625494,0.0029759629996988224,0.011426985000071,0.0077015999995637685
86,9318.394913,-1.9,-2.7,-3.8,[19.85],0.00958251953125,-6.853284519790528,-9.178236344422302,-16.500514576941754,0.00504348366666818,0.004974941999535076,0.042337400000178604
87,9318.444869,-1.7,-2.3,-3.2,[19.79444444],0.003509521484375,-6.824472087867092,-9.155970277802568,-16.527937138411374,0.0054846519997227006,0.005393390001700027,0.007499079998524394
88,9318.494872,-1.7,-1.9,-2.7,[19.91458333],0.003509521484375,-6.7965994476975355,-9.141013466439452,-16.523817849589562,0.00012016099935863167,0.005288432999805082,0.04250391999994463
89,9318.544898,-1.6,-1.7,-2.3,[19.86666667],0.0037384033203125,-6.791978832691583,-9.116346613260687,-16.52016396225106,0.0035059523324889597,0.005740787664763047,0.007262560999151901
90,9318.594889,-1.3,-1.7,-1.9,[19.86736111],0.0037384033203125,-6.796629878798468,-9.104582879020649,-16.529917415379344,0.002599608333184733,0.0027896826668438734,0.04272843900071166
91,9318.644867,-0.8999999999999999,-1.6,-1.7,[19.93611111],0.003448486328125,-6.815242831831456,-9.124909253494604,-16.52399909703243,0.002832671001669951,0.0066632976649998454,0.007086040999638499
92,9318.694871,-0.7999999999999999,-1.3,-1.7,[19.96319444],0.003448486328125,-6.832199611543029,-9.153978399924906,-16.515159362332334,0.00696504633197037,0.0015312753330363194,0.04291795899916906
93,9318.744862,-0.7999999999999999,-0.8999999999999999,-1.6,[19.94236111],-0.0051116943359375,-6.860157961872841,-9.165864704776736,-16.496356505440392,0.0035447036680125166,0.0018791706661431817,0.0068835220008622855
94,9318.794873,-0.7999999999999999,-0.7999999999999999,-1.3,[19.91527778],-0.0051116943359375,-6.894839305188653,-9.187447391560777,-16.509261690882845,0.0030902349990356015,0.0024011500008782605,0.04312747800031502
95,9318.844866,-0.7999999999999999,-0.7999999999999999,-0.8999999999999999,[19.94305556],-0.007476806640625,-6.897036668897713,-9.207724476816761,-16.529770433657667,0.007664056332941982,0.002373952665948309,0.006672002000414068
96,9318.894867,-0.7999999999999999,-0.7999999999999999,-0.7999999999999999,[19.99027778],-0.007476806640625,-6.888511797467097,-9.226887593231474,-16.54972140180588,0.0008907026676752139,0.004621631000190973,0.04332899800101586
97,9318.944864000001,-0.7999999999999999,-0.7999999999999999,-0.7999999999999999,[19.95763889],-0.003204345703125,-6.868099415609392,-9.229615671949263,-16.558619648638807,0.0036281813354435144,0.005849360331922071,0.006466482998803258
98,9318.994905,-0.7000000000000001,-0.7999999999999999,-0.7999999999999999,[19.98611111],-0.003204345703125,-6.862769147628643,-9.215840393091213,-16.570302402432343,0.002702118667002651,0.002725526666836231,0.0435745169997972
99,9319.044861,-0.7000000000000001,-0.7999999999999999,-0.7999999999999999,[19.96111111],-0.00079345703125,-6.841233309941181,-9.22186403700806,-16.585136004175634,0.006040754667992587,0.008361411666555796,0.006261962998905801
100,9319.094859,-1.0,-0.7000000000000001,-0.7999999999999999,[20.01666667],-0.00079345703125,-6.813947761799121,-9.238468902426817,-16.59742969148641,0.0032357136660721153,0.0021441920016513905,0.04373603700150852
101,9319.144861,-1.2,-0.7000000000000001,-0.7999999999999999,[20.00625],-0.000885009765625,-6.809911429141765,-9.234130283747122,-16.606386955501804,0.008673443666339153,0.002467005000653444,0.006054443998436909
102,9319.19487,-1.3,-0.8999999999999999,-0.7000000000000001,[20.01458333],-0.000885009765625,-6.805428493760986,-9.238866117729748,-16.61885095421421,0.0030497763327730354,0.005182025332032936,0.04395455600024434
103,9319.24486,-1.5,-1.2,-0.7000000000000001,[20.02986111],-0.00115966796875,-6.818662109204087,-9.243576179438223,-16.620287555405966,0.002504807000150322,0.00784219166780531,0.00584792399968137
104,9319.294856,-1.9,-1.2,-0.8999999999999999,[20.03125],-0.00115966796875,-6.842041006045368,-9.258388272220333,-16.59828040638622,0.0026090569990628865,0.00281575599910866,0.04414807600005588
105,9319.344859,-2.1,-1.5,-1.2,[20.10972222],-0.0033721923828125,-6.9022479959409555,-9.262527143093461,-16.563765783324918,0.0029280360013217432,0.009320245664639515,0.005641404999551014
106,9319.394866,-2.2,-1.9,-1.2,[20.00416667],-0.0033721923828125,-6.954222481875306,-9.286076727402229,-16.517841888675395,0.007226015000924235,0.001907473666506121,0.04436559500027215
107,9319.444854,-2.3,-2.1,-1.5,[20.09652778],-0.00848388671875,-6.989531009964654,-9.322926800207705,-16.481764393273806,0.0063423183346458245,0.0022730463333573425,0.005438885000330629
108,9319.49486,-2.4,-2.2,-1.9,[19.99166667],-0.00848388671875,-7.010337192115096,-9.34814627417568,-16.47566988140316,0.0035536826653697062,0.007323151001401129,0.04456711500097299
109,9319.544865,-2.5,-2.3,-2.1,[20.02430556],-0.0052642822265625,-7.005769989337996,-9.368485818786342,-16.49747032246284,0.004687224667577539,0.0023276293322851416,0.00522036499933165
110,9319.594857,-2.6,-2.4,-2.2,[19.91805556],-0.0052642822265625,-6.983951448619293,-9.353183762139645,-16.552563583252812,0.0013192126662033843,0.004092328332262696,0.04477163500087045
111,9319.644864,-2.6,-2.5,-2.3,[19.98125],0.0078582763671875,-6.930305606150999,-9.318652267361978,-16.59407813850851,0.0016758900001150323,0.007125525999072124,0.0050138460010202834
112,9319.694880000001,-2.8,-2.6,-2.4,[19.99027778],0.0078582763671875,-6.829400505082454,-9.298979959135252,-16.611256508986266,0.002415192668195232,0.00019213099949411117,0.045002154000030714
113,9319.744850000001,-3.2,-2.6,-2.5,[19.90902778],0.0126190185546875,-6.758269732001226,-9.239349953215216,-16.616827042621463,0.005514025668162503,0.004193286666122731,0.004820325999389752
114,9319.794859,-3.4,-2.8,-2.6,[19.91666667],0.0126190185546875,-6.731717920012462,-9.166256121886995,-16.614965524253044,0.003886953667461057,0.0015697970011387952,0.045188673999291495
115,9319.844906,-3.5,-3.2,-2.6,[19.88402778],0.016998291015625,-6.699783302410173,-9.148837495582653,-16.603456556208496,0.009059870000783121,0.0017818483338487567,0.004556806999971741
116,9319.894851000001,-3.5,-3.4,-2.8,[19.95833333],0.016998291015625,-6.719197013129636,-9.124634450869003,-16.568817883392764,0.001179922001028899,0.006502525335235987,0.04538819300069008
117,9319.944848000001,-3.5,-3.5,-3.2,[19.82916667],0.0081939697265625,-6.771392260124737,-9.102557272262388,-16.531467401704983,0.001077244667612831,0.0065135150016431,0.004407286998684867
118,9319.994866000001,-3.6,-3.5,-3.4,[19.89652778],0.0081939697265625,-6.8331814491968,-9.100968912829085,-16.502033724197403,0.004916046333164559,0.003201349665687303,0.04561071300122421
119,9320.044846,-3.8,-3.5,-3.5,[19.83125],-0.0046234130859375,-6.871914353370462,-9.115848166030865,-16.47510667222466,0.005392797002059524,0.008334807998835458,0.004201767998893047
120,9320.094841,-4.0,-3.6,-3.5,[19.84236111],-0.0046234130859375,-6.899762771828368,-9.123575491984878,-16.447181198926156,0.005662515000949497,0.002421933000732679,0.04579323200050567
121,9320.144861,-4.0,-3.8,-3.5,[19.80555556],0.00225830078125,-6.9028170425734965,-9.127575180921509,-16.42933811886167,0.003389505665836623,0.003315598667541053,0.003979248000177904
122,9320.194862,-3.7,-4.0,-3.6,[19.76736111],0.00225830078125,-6.897969121304628,-9.11301996800074,-16.42097946717997,0.0029437136672640918,0.0026167963333136868,0.046021751999433036
123,9320.244888000001,-3.4,-4.1,-3.8,[19.76597222],0.011810302734375,-6.858783147662959,-9.102669574807058,-16.413588049434956,0.008157724001648603,0.00547209866817866,0.0037447289996634936
124,9320.294861,-3.0,-3.8,-4.0,[19.72222222],0.011810302734375,-6.806431086531072,-9.087191898192929,-16.402741397173966,0.0023489116683776956,0.0030486613322864287,0.04622827099956339
125,9320.344842,-3.0,-3.4,-4.1,[19.73680556],0.0137176513671875,-6.760080448702882,-9.076310998108081,-16.36687130194885,0.0026910046672128374,0.008261317665528622,0.003583208999771159
126,9320.394845,-2.7,-3.0,-3.8,[19.67638889],0.0137176513671875,-6.73687080090905,-9.066885954112443,-16.322659462099114,0.002756546999080456,0.0027381303316360572,0.04641979100051685
127,9320.444837000001,-2.5,-3.0,-3.4,[19.69305556],0.01727294921875,-6.715748826227202,-9.067369740668246,-16.278309173214158,0.0027708486686606193,0.008617525665613357,0.0033806899991759565
128,9320.494863,-1.8,-2.8,-3.0,[19.59930556],0.01727294921875,-6.7306642290646295,-9.070764761185568,-16.24372074787362,0.0030850780003675027,0.007653483999092714,0.04664530999980343
129,9320.54484,-1.1,-2.5,-3.0,[19.59375],0.0073394775390625,-6.764954002363845,-9.063871954723798,-16.21128081663778,0.005806640665468876,0.0025381200011906913,0.0031701699990662746
130,9320.594858,-0.5,-2.0,-2.8,[19.51666667],0.0073394775390625,-6.769969277956967,-9.059981026802406,-16.202441255237122,0.0026701613332988927,0.0028249423321540235,0.046847830000842805
131,9320.644843,-0.2,-1.3,-2.5,[19.49930556],-0.0052032470703125,-6.772425952595861,-9.041293512133496,-16.194498441596235,0.004744224332171143,0.0075908493327006,0.0029596509994007647
132,9320.694861,-0.2,-0.6000000000000001,-2.0,[19.44027778],-0.0052032470703125,-6.766313373064971,-9.00968390047863,-16.17936405798871,0.006243505333259236,0.0018720263324212283,0.047058349000508315
133,9320.744894,-0.30000000000000004,-0.2,-1.3,[19.43611111],-0.011383056640625,-6.736809262841427,-8.970071279679056,-16.154256296334527,0.0037066196655359818,0.007232214000396198,0.0027011310012312606
134,9320.794856,-0.30000000000000004,-0.2,-0.6000000000000001,[19.3875],-0.011383056640625,-6.686983774419422,-8.937616906030932,-16.13217223903602,0.0066094323337893,0.004074349333677674,0.0472608689997287
135,9320.844843,-0.30000000000000004,-0.30000000000000004,-0.2,[19.375],-0.007110595703125,-6.6593842530434255,-8.908791853055684,-16.09192261305363,0.005282099000396556,0.001708734000203549,0.002544611999837798
136,9320.894837,-0.4,-0.30000000000000004,-0.2,[19.34722222],-0.007110595703125,-6.651615096397429,-8.88606861989367,-16.02705371755729,0.0022592340010305634,0.0032522866677027196,0.04744938799922238
137,9320.944841,-0.6000000000000001,-0.30000000000000004,-0.30000000000000004,[19.2875],-0.0076446533203125,-6.639453498217176,-8.883451643353512,-15.957327632981823,0.009881265999865718,0.0029718176665483043,0.0023390919996018056
138,9320.99484,-1.0,-0.4,-0.30000000000000004,[19.25277778],-0.0076446533203125,-6.632139234336707,-8.900150404278255,-15.903828740123583,0.001264287000594777,0.004218557667627465,0.04765990799933206
139,9321.044837,-1.4,-0.5,-0.30000000000000004,[19.17708333],-0.008148193359375,-6.638826774994012,-8.911685072751451,-15.867965819276288,0.0014248703337216284,0.00488028633481008,0.0021355720000428846
140,9321.094833000001,-1.9,-1.0,-0.4,[19.09375],-0.008148193359375,-6.623305098179295,-8.916254351605263,-15.858190158336962,0.0034568076680443482,0.003451766000580392,0.047860428001513355
141,9321.144833,-2.3,-1.4,-0.5,[19.07569444],0.0002899169921875,-6.587160808501965,-8.90616241007003,-15.854840373312346,0.0037560990003839834,0.00489307800125971,0.0019320529991091462
142,9321.194907000001,-2.5,-1.9,-1.0,[19.04166667],0.0002899169921875,-6.53705948821064,-8.878685502860325,-15.847013302401216,0.0070841716642462416,0.006390484333678614,0.04814194700156804
143,9321.244842,-2.7,-2.3,-1.4,[19.],0.0092010498046875,-6.461382516300486,-8.836259952074895,-15.834791838173789,0.007252004999827477,0.003276776333223097,0.0017155330006062286
